Crop Type,Temparature,Humidity,Moisture,Soil Type,Nitrogen,Potassium,Phosphorous,Month,Description,Image Link,Growth Period,Water Needs
Papaya,30.0,75.0,50.0,Rojo,28,25,18,8,Fruta tropical rica en vitaminas,https://example.com/papaya.jpg,150-180,1000
Mango,32.0,65.0,40.0,Franco,30,20,15,1,Fruta tropical jugosa popular en América Latina,https://example.com/mango.jpg,100-150,1200
Ají,26.0,55.0,35.0,Arenoso,20,18,12,3,Fruto picante utilizado en muchos platos latinoamericanos,https://example.com/chili_pepper.jpg,60-90,800
Frijoles Negros,25.0,60.0,40.0,Franco,35,20,15,9,Leguminosa básica en la cocina latinoamericana,https://example.com/black_beans.jpg,70-90,900
Lentejas,24.0,55.0,38.0,Arcilloso,28,15,10,4,Leguminosa nutritiva rica en proteínas,https://example.com/lentils.jpg,100-110,600
Maní,27.0,50.0,45.0,Arenoso,25,20,18,5,Leguminosa cultivada por sus semillas comestibles,https://example.com/peanuts.jpg,90-120,700
Camote,26.0,65.0,50.0,Franco,20,18,22,10,Tubérculo nutritivo rico en fibra,https://example.com/sweet_potato.jpg,90-150,900
Nopal,30.0,50.0,35.0,Arenoso,15,10,12,3,Planta cactácea utilizada en gastronomía mexicana,https://example.com/nopal.jpg,60-90,300
Chirimoya,22.0,70.0,40.0,Franco,18,15,10,4,Fruta tropical de sabor dulce y cremoso,https://example.com/chirimoya.jpg,180-300,1200
Ciruelo,24.0,55.0,35.0,Franco,20,18,15,5,Fruta jugosa y dulce,https://example.com/ciruelo.jpg,100-150,1000
Guaraná,28.0,80.0,60.0,Arcilloso,25,20,20,6,Fruta utilizada en bebidas energéticas,https://example.com/guarana.jpg,365-730,2000
Yerba Mate,26.0,75.0,55.0,Rojo,30,20,25,7,Planta utilizada para infusión típica de Sudamérica,https://example.com/yerba_mate.jpg,730-1460,2500
Cebolla,20.0,65.0,40.0,Franco,18,12,10,9,Hortaliza de bulbo utilizada en cocina,https://example.com/cebolla.jpg,90-120,700
Ajo,22.0,60.0,35.0,Arenoso,15,10,12,10,Planta aromática con usos culinarios y medicinales,https://example.com/ajo.jpg,150-210,500
Pepino,25.0,70.0,45.0,Franco,20,15,12,5,Hortaliza fresca utilizada en ensaladas,https://example.com/pepino.jpg,50-70,600
Higo,30.0,50.0,30.0,Arenoso,25,15,10,6,Fruta dulce y fibrosa,https://example.com/higo.jpg,120-150,800
Cilantro,18.0,65.0,35.0,Franco,15,10,8,11,Hierba aromática utilizada en cocina,https://example.com/cilantro.jpg,30-50,400
Judía,24.0,60.0,40.0,Franco,30,20,15,4,Legumbre popular en diversas cocinas latinoamericanas,https://example.com/judia.jpg,60-90,800
Trigo,20.0,55.0,35.0,Franco,25,18,12,6,Cereal ampliamente cultivado para la producción de harina,https://example.com/trigo.jpg,120-150,1000
Cebada,18.0,50.0,30.0,Arcilloso,22,15,10,5,Cereal resistente utilizado en panadería y cervecería,https://example.com/cebada.jpg,90-120,900
Chía,26.0,45.0,30.0,Arenoso,20,12,10,3,Semilla rica en omega-3 y fibra,https://example.com/chia.jpg,100-150,600
Guaraná,28.0,80.0,60.0,Arcilloso,25,20,20,7,Fruta utilizada en bebidas energéticas,https://example.com/guarana.jpg,365-730,2000
